filename,speaker,noun,noise,duration (milliseconds),overlay_position
fa2-01_1-100032-A-0_подбородок_dog_a.wav,fa2,подбородок,dog,590,217
fa2-01_1-100032-A-0_подбородок_dog_b.wav,fa2,подбородок,dog,590,151
fa2-01_1-100038-A-14_подбородок_chirping-birds_a.wav,fa2,подбородок,chirping-birds,590,317
fa2-01_1-100038-A-14_подбородок_chirping-birds_b.wav,fa2,подбородок,chirping-birds,590,89
fa2-01_1-100210-A-36_подбородок_vacuum-cleaner_a.wav,fa2,подбородок,vacuum-cleaner,590,230
fa2-01_1-100210-A-36_подбородок_vacuum-cleaner_b.wav,fa2,подбородок,vacuum-cleaner,590,167
fa2-01_1-100210-B-36_подбородок_vacuum-cleaner_a.wav,fa2,подбородок,vacuum-cleaner,590,207
fa2-01_1-100210-B-36_подбородок_vacuum-cleaner_b.wav,fa2,подбородок,vacuum-cleaner,590,350
fa2-01_1-101296-A-19_подбородок_thunderstorm_a.wav,fa2,подбородок,thunderstorm,590,235
fa2-01_1-101296-A-19_подбородок_thunderstorm_b.wav,fa2,подбородок,thunderstorm,590,98
fa2-01_1-101296-B-19_подбородок_thunderstorm_a.wav,fa2,подбородок,thunderstorm,590,336
fa2-01_1-101296-B-19_подбородок_thunderstorm_b.wav,fa2,подбородок,thunderstorm,590,5
fa2-01_1-101336-A-30_подбородок_door-wood-knock_a.wav,fa2,подбородок,door-wood-knock,590,311
fa2-01_1-101336-A-30_подбородок_door-wood-knock_b.wav,fa2,подбородок,door-wood-knock,590,128
fa2-01_1-101404-A-34_подбородок_can-opening_a.wav,fa2,подбородок,can-opening,590,307
fa2-01_1-101404-A-34_подбородок_can-opening_b.wav,fa2,подбородок,can-opening,590,250
fa2-01_1-103298-A-9_подбородок_crow_a.wav,fa2,подбородок,crow,590,65
fa2-01_1-103298-A-9_подбородок_crow_b.wav,fa2,подбородок,crow,590,19
fa2-01_1-103995-A-30_подбородок_door-wood-knock_a.wav,fa2,подбородок,door-wood-knock,590,109
fa2-01_1-103995-A-30_подбородок_door-wood-knock_b.wav,fa2,подбородок,door-wood-knock,590,52
fa2-01_1-103999-A-30_подбородок_door-wood-knock_a.wav,fa2,подбородок,door-wood-knock,590,49
fa2-01_1-103999-A-30_подбородок_door-wood-knock_b.wav,fa2,подбородок,door-wood-knock,590,191
fa2-01_1-104089-A-22_подбородок_clapping_a.wav,fa2,подбородок,clapping,590,290
